Topic,Subtopic,Keyword,Traffic,Volume,KD,Keyword Intents,Position,Position Type,URL
General Information and User Feedback,pollin,pollin,130,260,24,"navigational, transactional",1,Organic,https://www.polln.com/
General Information and User Feedback,pollin,medical cannabis australia online,38,390,48,informational,1,AI overview,https://www.polln.com/
General Information and User Feedback,pollin,online medical marijuanas,30,390,50,informational,1,AI overview,https://www.polln.com/
General Information and User Feedback,pollin,best online medical cannabis australia,27,210,47,commercial,1,Organic,https://www.polln.com/
General Information and User Feedback,pollin,medical marijuanas nsw online,25,590,39,informational,4,Organic,https://www.polln.com/
General Information and User Feedback,pollin,online cannabis prescription australia,21,480,51,informational,4,Organic,https://www.polln.com/
General Information and User Feedback,pollin,online cannabis prescription,17,210,47,commercial,1,AI overview,https://www.polln.com/
General Information and User Feedback,pollin,best cannabis clinic australia,17,110,49,commercial,1,AI overview,https://www.polln.com/
General Information and User Feedback,pollin,medical marijuana doctor,10,140,25,informational,1,AI overview,https://www.polln.com/
General Information and User Feedback,pollin,medical cannabis online,9,320,49,commercial,5,Organic,https://www.polln.com/
General Information and User Feedback,polln review,polln review,8,70,4,commercial,3,Organic,https://www.polln.com/pricing
General Information and User Feedback,polln review,polln reviews,5,50,3,commercial,1,AI overview,https://www.polln.com/alternative-healthcare
General Information and User Feedback,polln review,medical cannabis and driving qld,0,50,30,informational,51,Organic,https://www.polln.com/library/medicinal-cannabis-and-driving-what-you-need-to-know-as-a-patient-in-australia
General Information and User Feedback,polln review,terpenes,0,1600,50,informational,58,Organic,https://www.polln.com/library/everything-you-need-to-know-about-cannabis-terpenes
General Information and User Feedback,polln review,weed terpenes,0,140,50,informational,22,Organic,https://www.polln.com/library/everything-you-need-to-know-about-cannabis-terpenes
General Information and User Feedback,polln review,terpins,0,70,46,informational,45,Organic,https://www.polln.com/library/everything-you-need-to-know-about-cannabis-terpenes
General Information and User Feedback,polln review,what are turpins,0,110,50,informational,37,Organic,https://www.polln.com/library/everything-you-need-to-know-about-cannabis-terpenes
General Information and User Feedback,polln review,terpene,0,880,66,informational,33,Organic,https://www.polln.com/library/everything-you-need-to-know-about-cannabis-terpenes
General Information and User Feedback,polln review,what is a terpene,0,170,55,informational,30,Organic,https://www.polln.com/library/everything-you-need-to-know-about-cannabis-terpenes
General Information and User Feedback,polln review,pot terpenes,0,70,56,informational,22,Organic,https://www.polln.com/library/everything-you-need-to-know-about-cannabis-terpenes
